@relation dn2a

@attribute x numeric
@attribute y numeric
@attribute c numeric

@data
8.003399715007317,0.04041951966351286,616.5447146932081
8.005597840228253,0.08167604790482781,617.0027660329094
8.006593116688657,0.12376629232098368,617.3740340312737
8.006384646927648,0.16668663198958047,617.6584242373561
8.004971895566255,0.21043311739297846,617.8558677803527
8.002354689742896,0.255001470472676,617.9663214035119
7.998533219415428,0.30038708481409376,617.9897674886868
7.993508037529581,0.34658502596193863,617.9262140715115
7.9872800600535285,0.3935900318662724,617.7756948471858
7.979850565878558,0.4413965134593535,617.5382691668648
7.971221196585683,0.48999855536326953,617.2140220246408
7.961393956078241,0.5393899167283279,616.8030640351233
7.950371210080513,0.5895640322021164,616.3055314016148
7.9381556855023945,0.6405140130290918,615.7215858748885
7.9247504696703475,0.6922326482805087,615.0514147025809
7.910159009424728,0.744712406214439,614.2952305692057
7.894385110083842,0.7979454357655875,613.4532715268156
7.877432934274929,0.8519235681645538,612.525800916322
7.859307000632513,0.9066383186861352,611.513107279507
7.840012182364444,0.9620808885262195,610.4155042617464
7.819553705686182,1.0182421668067594,609.233330505484
7.797937148123734,1.0751127327082695,607.966949534486
7.775168436685885,1.1326828577292347,606.6167496289185
7.751253845906287,1.1909425080717697,605.1831436912872
7.726199995756114,1.2498813471528132,603.6665691032913
7.700013849427966,1.309488738240094,602.0674875736348
7.672702710991793,1.36975374721205,600.3863849768532
7.644274222923694,1.4306651454408374,598.623771183211
7.614736363508439,1.4922114127975084,596.7801798797332
7.5840974441166065,1.5543807407783914,594.8561683824282
7.552366106357375,1.6171610357516613,592.8523174397803
7.519551319107922,1.68053992232302,590.769231027572
7.4856623754205645,1.7445047468193915,588.6075361351201
7.450708889308698,1.8090425808894455,586.3678825429968
7.414700792412766,1.8741402252197534,584.0509425923221
7.377648330547413,1.939784213365304,581.6574109457089
7.339562060131154,2.0059608156930846,579.1880043399515
7.300452844499819,2.0726560434373527,576.6434613305486
7.260331850105157,2.139855652865219,574.0245420281547
7.219210542599989,2.207545149551077,571.3320278270578
7.1771006828114015,2.275709792758395,568.5667211257877
7.134014322603417,2.344334599927333,565.7294450399554
7.089963800630739,2.4134043512665975,562.8210431074341
7.044961737985108,2.4829035944479085,559.8423789859897
6.999021033735956,2.552816649401423,556.7943361434797
6.952154860366973,2.623127613210382,553.6778175407306
6.904376659110335,2.6938203651032473,550.4937453072196
6.8557001351803395,2.764878571541523,547.2430604096778
6.806139252908257,2.836285691401426,543.9267223137468
6.755708230780215,2.9080249812475456,540.5457086388104
6.704421536380005,2.9800795006965535,537.1010148061374
6.652293881238736,3.0524321178690346,533.593653680467
6.599340215593272,3.1250655149274382,530.0246552051751
6.5455757230554505,3.1979621936981273,526.3950660311577
