primer,vhod1,vhod2,izhod
0,0.49129549643388193,-0.0,3.0
1,0.4872402990780735,-0.049547058066981856,4.362626781100257
2,0.4831759541182462,-0.0990963182495104,5.613962006955974
3,0.47910258605683376,-0.14850862708317294,6.7542525109601295
4,0.4750203195871618,-0.19764497252597038,7.784023524669674
5,0.47092927958931025,-0.24636692214957664,8.704077519138453
6,0.46682959112597033,-0.29453705990621765,9.515492172703928
7,0.46272137943829883,-0.3420194199975708,10.219617471023684
8,0.4586047699417663,-0.3886799163813027,10.818071948086377
9,0.4544798882220019,-0.43438676646518926,11.312738079822005
10,0.45034686003063373,-0.4790109075581583,11.70575684479759
11,0.44620581128112674,-0.5224264046719856,11.999521469296997
12,0.44205686804461464,-0.5645108482966843,12.196670376837474
13,0.4379001565457305,-0.6051457408067379,12.30007936486119
14,0.4337358031584318,-0.6442168701941398,12.312853033948207
15,0.4295639344018244,-0.6816146698675624,12.238315497418556
16,0.4253846769359812,-0.7172345633047379,12.080000401617024
17,0.42119815755775974,-0.7509772923971377,11.841640289496029
18,0.4170045031966149,-0.7827492283820814,11.527155342321711
19,0.4128038409104114,-0.8124626643173074,11.140641536418329
20,0.408596297881231,-0.8400360881165893,10.686358253828843
21,0.4043820014111797,-0.8653944352319307,10.168715387598521
22,0.4001610789181906,-0.8884693201380323,9.592259984077028
23,0.39593365793182655,-0.9091992458477901,8.961662466176927
24,0.3916998660890792,-0.9275297907633483,8.281702482917469
25,0.38745983113016735,-0.9434137722453895,7.557254431817191
26,0.3832136808943325,-0.9568113863636494,6.79327270177289
27,0.37896154331563414,-0.9676903233737851,5.994776684972222
28,0.37470354641874254,-0.9760258585494397,5.1668356071295705
29,0.37043981831473133,-0.9818009180833168,4.314553225907131
30,0.36617048719686696,-0.9850061198570179,3.443052447783696
31,0.3618956813364004,-0.9856397889659941,2.5574599138609093
32,0.3576155290783544,-0.9837079479729199,1.6628906051501329
33,0.3533301588373136,-0.9792242819498032,0.7644325177624673
34,0.3490396990932105,-0.9722100784558911,-0.13286854186968355
35,0.3447442783871145,-0.9626941426846187,-1.0240239920775775
36,0.34044402531701795,-0.9507126880981605,-1.9041172923228447
37,0.3361390685336242,-0.9363092029523024,-2.7683184926265767
38,0.3318295367361333,-0.9195342931970282,-3.611898468812233
39,0.32751555866803106,-0.9004455023191525,-4.430242797446445
40,0.3231972631128752,-0.8791071087722233,-5.218865225652266
41,0.3188747788900847,-0.8555899017154859,-5.973420692412984
42,0.314548234850727,-0.8299709358576954,-6.689717859576193
43,0.31021775987330924,-0.8023332662727035,-7.3637311125016724
44,0.3058834828595672,-0.7727656641217905,-7.991611992166552
45,0.301545532730258,-0.7413623142824313,-8.56970002254064
46,0.2972040384209516,-0.7082224959443337,-9.094532899166452
47,0.2928591288778259,-0.6734502472909667,-9.56285600711491
48,0.2885109330534612,-0.6371540154381996,-9.971631238830925
49,0.28415957990263846,-0.5994462928509203,-10.318045084824849
50,0.2798051983781372,-0.5604432415034105,-10.599515972697258
51,0.2754479174265366,-0.5202643060896778,-10.813700832597004
52,0.2710878659840192,-0.47903181762575897,-10.958500869896465
53,0.2667251729721752,-0.4368705888170324,-11.032066528614004
54,0.2623599672938098,-0.3939075025897932,-11.032801631912163
55,0.2579923778287534,-0.35027109520758526,-10.959366688841072
56,0.253622533429675,-0.3060911354090149,-10.810681359370077
57,0.24925056291789663,-0.2614982010149364,-10.585926072646261
58,0.24487659507921167,-0.21662325445896125,-10.284542796326548
59,0.24050075865970647,-0.1715972186961831,-9.906234957739795
60,0.23612318236158555,-0.12655055494082698,-9.45096652053669
61,0.23174399483899902,-0.08161284367424802,-8.918960223368188
62,0.22736332469387355,-0.03691237035036857,-8.310694989987304
63,0.2229813004717482,0.007424282793709681,-7.626902522984641
64,0.2185980506576135,0.05127263743846734,-6.868563096134865
65,0.2142137036717539,0.09451071103977622,-6.036900563040051
66,0.2098283878655944,0.13701939852328432,-5.1333766023967
67,0.2054422315175518,0.17868284253337352,-4.159684222777297
68,0.20105536282889094,0.21938879099762373,-3.117740552295377
69,0.1966679099195839,0.25902894081496125,-2.009678940906703
70,0.19228000082417449,0.2974992665270473,-0.837840405380085
